product_id,product_name,category_id,warehouse_id,seller_id,product_weight,product_price,product_size
1,Minimalist Linen Shorts Coral Infinite Horizon Series,26,389,53124,4.0,48.2,XL
2,Geometric Wood Plain dress Navy Essence Series,15,486,82292,1.5,16.2,L
3,Abstract Wood Belt Aqua Enigma Collection,46,405,92439,3.8,31.4,S
4,Casual Synthetic One-piece Navy Evolve Series,36,221,11349,2.7,15.7,L
5,Retro Denim Jeans Navy Legacy Collection,28,258,96630,4.0,33.2,S
6,Minimalist Cotton Cardigan Aqua Odyssey Series,11,127,12333,6.3,29.3,XL
7,Comfortable Wool Shirt Orange Odyssey Series,3,365,85371,6.2,18.2,L
8,Eco-Friendly Wood Shirt Black Harmony Series,3,127,70291,9.7,12.6,XS
9,Geometric Bamboo Leopard print dress Navy Evolve Series,13,184,89052,4.2,38.8,XL
10,Traditional Bamboo Gloves Ivory Evolve Series,48,495,10866,6.6,28.1,XS
11, Linen Striped dress Maroon Infinite Horizon Series,17,184,54179,7.4,25.0,M
12,Elegant Wool Cargo pants Orange Evolve Series,29,315,65353,9.9,32.6,M
13,Retro Mesh Lingerie Pink Phoenix Series,40,208,47070,8.7,22.6,M
14,Luxury Linen Plain dress Orange Evolve Series,15,416,56198,2.8,40.9,XL
15,Elegant Stainless Steel Plain dress Ivory Infinite Horizon Series,15,433,11349,7.7,33.8,S
16,Rugged Mesh Romper Crimson Zenith Series,32,439,87185,6.0,43.0,S
17,Modern Leather Blouse Purple Infinite Horizon Series,8,441,12333,4.5,32.5,XS
18,Artistic Recycled Plastic Gloves Charcoal Solstice Series,48,331,98545,1.6,46.8,S
19,Floral Silk Vest White Harmony Series,9,443,47070,3.0,17.8,XL
20,Elegant Faux Leather Striped dress  Horizon Collection,17,387,89199,8.8,21.4,XS
21,Casual Bamboo Jeans Pink Enigma Collection,28,164,98153,6.0,24.1,XL
22,Eco-Friendly Wool Socks Pink Zenith Series,44,221,90025,7.9,29.4,L
23,Artistic Velvet Socks Yellow Elysium Line,44,432,87485,9.4,39.1,L
24,Traditional  Leggings Red Vitality Series,25,307,23479,7.5,22.6,XL
25,Sporty Stainless Steel Swim dress Teal Vitality Series,38,331,52351,8.0,36.7,XL
26,Eco-Friendly Polyester Bow tie Purple Enigma Collection,50,462,16834,3.2,32.2,XS
27,Rugged Synthetic Belt Aqua Elysium Line,46,440,22653,2.8,21.1,M
28,Sleek Rubber Socks Charcoal Elysium Line,44,462,26276,4.2,34.1,S
29,Traditional Rubber Leopard print dress Coral Phoenix Series,13,443,78576,9.7,43.8,XL
30,Elegant Suede Belt Charcoal Elysium Line,46,264,82292,1.8,30.8,XL
31,Geometric Recycled Plastic Suspenders Crimson Evolve Series,51,142,92439,7.8,23.1,XL
32,Elegant Aluminum Bikini set Purple Solstice Series,35,331,81249,7.2,28.1,XS
33,Modern Wood Leggings Pink Odyssey Series,25,443,65730,3.2,37.3,XL
34,Eco-Friendly Mesh Shorts Lavender Essence Series,26,459,16147,8.3,36.8,XL
35,Retro Bamboo Bikini set Green Enigma Collection,35,241,72707,2.4,18.3,XL
36,Eco-Friendly Polyester Midi dress Black Harmony Series,21,441,41406,8.2,47.7,L
37,Luxury Silk Coat  Nexus Collection,7,142,74065,3.1,27.7,XS
38,Rugged Denim Cargo pants  Infinite Horizon Series,29,432,20624,9.7,18.6,S
39,Bohemian Wool T-shirt Pink Elysium Line,2,462,67179,1.1,27.2,L
40,Casual Mesh Jeans Ivory Solstice Series,28,122,81249,8.3,13.6,XL
41,Comfortable Denim All over print dress Maroon Odyssey Series,16,385,91718,7.1,19.9,L
42,Artistic Suede Plain dress White Solstice Series,15,122,85371,8.2,26.1,M
43,Stylish Stainless Steel Jeans Blue Nexus Collection,28,184,11877,2.9,28.5,XS
44,Sporty Denim One-piece Ivory Horizon Collection,36,369,96630,9.1,21.4,L
45,Modern Suede Mini dress Pink Zenith Series,20,349,80005,5.4,31.3,XL
46,Stylish Suede Cardigan Green Horizon Collection,11,481,82925,7.8,19.3,XS
47,Traditional Glass Blouse Red Essence Series,8,184,16834,1.9,29.0,M
48,Retro Ceramic Belt Olive Evolve Series,46,258,16147,2.0,45.5,XL
49,Elegant Aluminum Casual dress Coral Evolve Series,19,416,82292,5.8,19.0,S
50,Minimalist Synthetic Leggings Blue Nexus Collection,25,449,98545,4.3,33.4,M
51,Sleek Rubber Romper Orange Vitality Series,32,258,28850,2.2,30.4,L
52,Stylish Velvet Long skirt Pink Zenith Series,23,246,68988,1.3,19.3,M
53,Stylish Wool Bow tie Pink Phoenix Series,50,184,16147,5.4,19.5,M
54,Artistic Suede Blouse Aqua Evolve Series,8,246,71966,5.1,38.7,XS
55,Traditional Stainless Steel Romper Charcoal Vitality Series,32,264,54179,1.9,37.7,M
56,Elegant  Scarf Orange Vitality Series,47,490,22480,5.2,34.5,M
57,Futuristic Denim Lingerie Crimson Enigma Collection,40,246,41406,5.7,43.7,XS
58,Minimalist Suede Striped dress Maroon Harmony Series,17,387,13712,4.7,16.4,M
59,Sleek Linen Cargo pants Lavender Zenith Series,29,441,39078,7.1,32.8,XL
60,Futuristic Recycled Plastic Pajama set Maroon Fusion Line,31,365,19705,9.4,26.3,M
61,Retro Faux Leather Lingerie Green Essence Series,40,383,50173,4.4,45.5,XL
62,Luxury Cotton Bra Navy Elysium Line,41,331,52336,6.4,28.5,XL
63,Luxury Rubber Plain dress  Horizon Collection,15,486,24448,4.9,26.2,XS
64,Traditional Suede Pajama set Orange Enigma Collection,31,481,94043,7.9,33.9,M
65,Casual Suede Mini dress Coral Essence Series,20,184,28428,8.3,27.5,M
66,Futuristic Bamboo Leopard print dress White Vitality Series,13,246,38582,7.1,30.5,XS
67,Minimalist Recycled Plastic Shorts Red Elysium Line,26,142,24448,3.1,24.6,L
68,Vintage Denim Midi dress Charcoal Infinite Horizon Series,21,486,61937,2.7,26.2,XL
69,Vintage Stainless Steel Tankini Black Fusion Line,37,264,52351,3.3,44.7,XS
70,Vintage Suede Bra Red Infinite Horizon Series,41,184,78576,6.4,27.2,L
